CompanyId,PostalCode
6099261825,AB11 6JX
6099266706,AB12 3AX
6099263011,AB14 0UL
6099283111,AB14 0XA
6099276955,AB31 5YR
7143260079,AB37 9BG
6099312203,AB42 3PD
7143166985,AB42 4HX
6099235901,AB42 4UD
7143166987,AB42 4XJ
6099279671,AB51 5RB
7143300259,AB56 5LB
6097667857,AL2 1DG
7588769554,AL3 4DG
6099289396,AL3 6LB
6097687621,AL5 1SR
6099261871,AL6 0PW
6099280181,AL6 9TY
6097670800,AL7 4BE
6099248312,AL7 4PW
6097666997,B1 1JL
7143286533,B1 1JL
7143274127,B1 1JR
6099299647,B1 2HF
6097670583,B10 0BW
6099299608,B10 0BW
6099232949,B10 0EX
6099263044,B10 0NR
6099274116,B10 9EU
6099282318,B11 1ED
6099292849,B11 1LS
6099269684,B11 2BE
6099233026,B11 2BH
6099311692,B11 2DB
6099292986,B11 2EW
6099267161,B11 2EZ
6099311503,B11 3FJ
6099269908,B11 3RX
6099271232,B11 4SF
6099271509,B12 0JG
6099232803,B12 0NH
6099269303,B12 0QR
6099230373,B12 0QR
6097667400,B12 0SD
6099262621,B12 0UP
6099282714,B12 9DJ
6099311799,B12 9PB
6097667669,B18 5NX
6099279478,B19 3NB
6099227502,B19 3PE
7143119179,B23 6UG
6099251270,B24 0QY
6099263410,B24 8DL
6099277601,B24 9PP
7143244823,B25 8DF
6099299376,B26 3JA
6099292968,B28 0AQ
6099274896,B28 8HN
6099279791,B28 8JQ
6099279385,B3 1RD
6099292842,B30 1NH
6099251206,B30 2DA
6099279461,B31 2BQ
6099248309,B31 2RW
6097670506,B31 2TS
6099282540,B33 8RS
7143219565,B36 8TY
6099271786,B36 9HA
7143274128,B37 7AA
6099269659,B37 7YG
6099274866,B37 7YN
6099263055,B38 0HB
6099233118,B38 0HB
6658519867,B4 7XH
6097670403,B42 2ET
6097667626,B42 2TP
7143242634,B44 8NH
6099269992,B44 8NN
6099233387,B44 8PE
6099311955,B46 1QU
6099269814,B48 7HX
6097636926,B49 6DR
6099232877,B5 5SE
7143296530,B6 7JJ
6099245127,B6 7LP
6099308693,B60 3DX
7143205419,B60 4ED
6097687306,B61 0PQ
7143211947,B63 2UH
6099305570,B63 3NH
6099251766,B63 4PX
6099227169,B64 5JL
6097636777,B65 0PY
6097667900,B65 8NG
7143296542,B65 9 LL
6099230475,B66 1RB
6099296299,B66 3AJ
6097666911,B66 4QY
6099289726,B68 0NP
6099262576,B69 2JG
6099311995,B69 2LQ
6097636671,B69 3DU
6099251751,B69 4RY
6099277318,B7 4DX
6099299405,B70 0SU
6099263262,B70 6BY
6097670668,B70 9BP
6099251007,B72 1SD
6097636678,B74 2LZ
6099233332,B74 3EJ
6097667738,B74 3PG
6097667480,B74 4AL
6099250833,B75 5RJ
6099269663,B76 9EE
6099271537,B77 1EL
6099274310,B77 4DS
6099274856,B77 5AD
6099251262,B78 3EQ
7143300252,B78 3EQ
6099269729,B8 1JN
6099282230,B8 1LE
6097670565,B8 2BB
6099292485,B8 2HF
6099290153,B8 2NL
6099250777,B8 2NL
6097666874,B8 2RF
6097667661,B8 2SL
6097667420,B8 3AA
6099266972,B8 3AB
6099311461,B80 7EY
6099227455,B9 4AX
6099266589,B9 4NZ
6099236173,B9 5AS
6097670698,B9 5SY
6099277126,B90 1QR
6099263244,B90 3LT
6281805423,B90 4LH
6099289664,B90 4LH
6099251456,B90 4US
6099245343,B91 2JT
6099277121,B91 3QJ
6099233063,B92 7JE
7143296528,B92 8JA
6099245137,B93 0LL
6099269550,B94 6LU
7143663678,B95 5NF
6097687709,B96 0SD
6097636680,B96 6HH
7143199497,B97 6DJ
6099279979,B97 6RG
6099283007,BA
6097670451,BA
6099292340,BA
6097687587,BA
6099276911,BA
6099282980,BA
6097670467,BA
6099276956,BA
6099251599,BA
6099302720,BA
6099261296,BA
6099274514,BA
6099274316,BA
6455122272,BA1 4DB
6099227435,BA1 4DB
6099227526,BA1 7QH
6099261441,BA11 4BN
7143150125,BA13 3SW
6099312151,BA13 4JW
6099233310,BA14 0QX
7143157022,BA14 6JR
7143150123,BA14 7PE
7143184722,BA14 8LL
6099311968,BA14 8RY
6099274795,BA2 9HD
6099311907,BA20 1DP
7143166992,BA22 8FS
6099305734,BA22 9UW
6718603379,BB1 1HW
6099235939,BB1 1TH
6097687199,BB1 1UE
6099250807,BB1 3AR
6099263264,BB1 3EE
7143150130,BB1 5DG
6099282955,BB1 5DP
6099280182,BB1 5QN
6099233336,BB1 6AY
7143157042,BB10 1SG
6099308570,BB10 2LU
6099277188,BB11 1DA
6099311899,BB11 1RN
6099290128,BB11 2HA
7143173180,BB11 5UB
6099227510,BB115BS
6099245419,BB12 7NQ
6099270016,BB12 8SX
6099245318,BB12 9EX
7143242631,BB18 5EG
7143260077,BB2 1PQ
6099251738,BB2 1QD
6097636973,BB2 2AA
6099251733,BB2 2JQ
6099277076,BB2 3QN
6099266611,BB2 4AA
6099275071,BB2 4AD
6099305756,BB2 5EP
6099274770,BB2 5JH
6099269789,BB2 6DJ
6099292287,BB2 6JT
6099280423,BB4 6AG
6646700146,BB5 1HF
6099248502,BB5 3JY
6099251247,BB5 4LZ
7043379208,BB7 1HW
6097687411,BB8 8HT
6099274420,BB8 8LF
6099277607,BB9 0EZ
6099248283,BB9 6LL
6099271686,BB9 7DR
6099248521,BB9 7XT
6099280305,BB9 8DN
6099308689,BD1 1JN
6099267112,BD1 2LG
6099235923,BD1 3BW
6099271688,BD1 3ET
6099271017,BD1 4SX
6099274502,BD1 4XA
6099233306,BD10 0NN
6099289903,BD10 8QR
6099250866,BD10 9BA
6099277140,BD10 9TQ
7143157028,BD11 1BE
6097667659,BD12 0TP
6099269236,BD13 1PH
6099296303,BD13 3LY
6099236209,BD13 5DD
6097687590,BD16 1AE
6099251507,BD16 2RD
6099289647,BD17 7GA
6097670831,BD17 7JW
7143192752,BD17 7JW
6099248188,BD18 3HN
6099271541,BD18 3LA
6097667351,BD18 3PP
6099248387,BD19 3NW
6097667376,BD19 3QF
7143232379,BD19 3TN
6097667419,BD2 3NQ
6097687734,BD2 3SU
6099262586,BD2 4HP
6097687558,BD2 4ND
6099308913,BD20 7DS
6099311751,BD21 3EB
6099248490,BD21 4BY
6099277233,BD21 4DH
6099233158,BD21 5HL
6097667163,BD21 5LP
6099269738,BD22 7QS
6097670574,BD23 2QR
6099283011,BD23 2TA
6099312172,BD23 5PL
6097667237,BD23 6AF
6097670752,BD3 8HU
6099299462,BD3 8JS
6097636655,BD3 8PX
6099283005,BD3 8QD
6097670282,BD3 8SA
6099299435,BD3 9RH
7143219543,BD4 6SG
6099269804,BD4 7NP
6099276943,BD4 8BA
6099277448,BD4 8ES
6099311797,BD4 8RD
6099311879,BD4 8RS
6099305606,BD4 8RZ
6099245128,BD4 8SX
6766408109,BD5 0HF
6097687375,BD5 8HN
6099262875,BD5 8JX
6099275020,BD5 8LT
6097687350,BD6 1TD
6099308857,BD6 1YA
7143178161,BD6 3AP
6099289468,BD6 3EW
6099274409,BD7 1JA
6099263157,BD8 0AP
6099283203,BD8 9NL
7143286547,BD8 9TG
6099274133,BD9 4JB
6097669986,BH1 1JD
6099266662,BH10 4EF
6099251316,BH11 9LA
6099251463,BH11 9SH
6099227213,BH12 4LT
6099302535,BH12 4PE
6099311933,BH13 7RD
6099274069,BH14 0AX
6099271074,BH15 3ED
7143300248,BH17 0GF
6099250726,BH17 0HL
6334364498,BH17 7AE
6099271757,BH20 4BG
6099282580,BH21 2BT
7143206039,BH21 2BT
7143162150,BH21 2DS
7143274133,BH21 3AS
6099230330,BH21 6US
6099305536,BH22 0AE
6099289762,BH22 9AS
6099269959,BH23 2AX
